"혈액원별(1)","혈액원별(2)",성별(1),2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025
"혈액원별(1)","혈액원별(2)",성별(1),합계,전혈헌혈,전혈헌혈,전혈헌혈,전혈헌혈,전혈헌혈,전혈헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,합계,전혈헌혈,전혈헌혈,전혈헌혈,전혈헌혈,전혈헌혈,전혈헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,합계,전혈헌혈,전혈헌혈,전혈헌혈,전혈헌혈,전혈헌혈,전혈헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,합계,전혈헌혈,전혈헌혈,전혈헌혈,전혈헌혈,전혈헌혈,전혈헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,합계,전혈헌혈,전혈헌혈,전혈헌혈,전혈헌혈,전혈헌혈,전혈헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,합계,전혈헌혈,전혈헌혈,전혈헌혈,전혈헌혈,전혈헌혈,전혈헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,합계,전혈헌혈,전혈헌혈,전혈헌혈,전혈헌혈,전혈헌혈,전혈헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,합계,전혈헌혈,전혈헌혈,전혈헌혈,전혈헌혈,전혈헌혈,전혈헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,합계,전혈헌혈,전혈헌혈,전혈헌혈,전혈헌혈,전혈헌혈,전혈헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,합계,전혈헌혈,전혈헌혈,전혈헌혈,전혈헌혈,전혈헌혈,전혈헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,합계,전혈헌혈,전혈헌혈,전혈헌혈,전혈헌혈,전혈헌혈,전혈헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈,성분헌혈
"혈액원별(1)","혈액원별(2)",성별(1),소계,소계,소계,320mL,320mL,400mL,400mL,소계,소계,혈장,혈장,혈소판,혈소판,다종성분,다종성분,기타,기타,소계,소계,소계,320mL,320mL,400mL,400mL,소계,소계,혈장,혈장,혈소판,혈소판,다종성분,다종성분,기타,기타,소계,소계,소계,320mL,320mL,400mL,400mL,소계,소계,혈장,혈장,혈소판,혈소판,다종성분,다종성분,기타,기타,소계,소계,소계,320mL,320mL,400mL,400mL,소계,소계,혈장,혈장,혈소판,혈소판,다종성분,다종성분,기타,기타,소계,소계,소계,320mL,320mL,400mL,400mL,소계,소계,혈장,혈장,혈소판,혈소판,다종성분,다종성분,기타,기타,소계,소계,소계,320mL,320mL,400mL,400mL,소계,소계,혈장,혈장,혈소판,혈소판,다종성분,다종성분,기타,기타,소계,소계,소계,320mL,320mL,400mL,400mL,소계,소계,혈장,혈장,혈소판,혈소판,다종성분,다종성분,기타,기타,소계,소계,소계,320mL,320mL,400mL,400mL,소계,소계,혈장,혈장,혈소판,혈소판,다종성분,다종성분,기타,기타,소계,소계,소계,320mL,320mL,400mL,400mL,소계,소계,혈장,혈장,혈소판,혈소판,다종성분,다종성분,기타,기타,소계,소계,소계,320mL,320mL,400mL,400mL,소계,소계,혈장,혈장,혈소판,혈소판,다종성분,다종성분,기타,기타,소계,소계,소계,320mL,320mL,400mL,400mL,소계,소계,혈장,혈장,혈소판,혈소판,다종성분,다종성분,기타,기타
"혈액원별(1)","혈액원별(2)",성별(1),실적 (건),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%)
"합계","소계",계,3082918,2153875,69.9,870507,28.2,1283368,41.6,929043,30.1,696552,22.6,21794,0.7,210000,6.8,697,0.0,2866330,2143208,74.8,814416,28.4,1328792,46.4,723122,25.2,466636,16.3,21586,0.8,234304,8.2,596,-,2928670,2139935,73.1,802983,27.4,1336952,45.7,788735,26.9,547471,18.7,15973,0.5,224654,7.7,637,-,2883270,2120992,73.6,790936,27.4,1330056,46.1,762278,26.4,526847,18.3,16999,0.6,217905,7.6,527,-,2791092,2094144,75.0,801299,28.7,1292845,46.3,696948,25.0,465046,16.7,16590,0.6,214815,7.7,497,-,2611401,1964633,75.2,682492,26.1,1282141,49.1,646768,24.8,400653,15.3,18672,0.7,226991,8.7,452,-,2604437,1977098,75.9,721543,27.7,1255555,48.2,627339,24.1,364081,14.0,21734,0.8,240949,9.3,575,0.0,2649007,1998108,75.4,767598,29.0,1230510,46.5,650899,24.6,387085,14.6,21128,0.8,242221,9.1,465,0.0,2776291,2023490,72.9,759807,27.4,1263683,45.5,752801,27.1,450622,16.2,21158,0.8,280581,10.1,440,0.0,2855540,1971931,69.1,641610,22.5,1330321,46.6,883609,30.9,583393,20.4,19628,0.7,279993,9.8,595,0.0,2839632,2002231,70.5,473132,16.7,1529099,53.8,837401,29.5,524889,18.5,20183,0.7,292014,10.3,315,0.0
"합계","소계",남자,2165411,1466692,67.7,245809,11.4,1220883,56.4,698719,32.3,477459,22.0,15129,0.7,205502,9.5,629,0.0,2066926,1495262,72.3,232437,11.2,1262825,61.1,571664,27.7,327224,15.8,11848,0.6,232059,11.2,533,-,2132241,1506538,70.7,228341,10.7,1278197,59.9,625703,29.3,393136,18.4,9150,0.4,222834,10.5,583,-,2106912,1486370,70.5,206151,9.8,1280219,60.8,620542,29.5,392991,18.7,10654,0.5,216428,10.3,469,-,2036566,1463447,71.9,204025,10.0,1259422,61.8,573119,28.1,348911,17.1,10178,0.5,213563,10.5,467,-,1916444,1382189,72.1,124990,6.5,1257199,65.6,534255,27.9,298366,15.6,10048,0.5,225401,11.8,440,-,1895131,1370607,72.3,134199,7.1,1236408,65.2,524524,27.7,273214,14.4,11735,0.6,239038,12.6,537,0.0,1876184,1339188,71.4,128617,6.9,1210571,64.5,536996,28.6,285352,15.2,10867,0.6,240364,12.8,413,0.0,2008892,1383900,68.9,146313,7.3,1237587,61.6,624992,31.1,335902,16.7,10513,0.5,278172,13.8,405,0.0,2058245,1324543,64.4,124255,6.0,1200288,58.3,733702,35.6,446218,21.7,9763,0.5,277182,13.5,539,0.0,2000807,1312531,65.6,98116,4.9,1214415,60.7,688276,34.4,391184,19.6,8224,0.4,288583,14.4,285,0.0
"합계","소계",여자,917507,687183,74.9,624698,68.1,62485,6.8,230324,25.1,219093,23.9,6665,0.7,4498,0.5,68,0.0,799404,647946,81.1,581979,72.8,65967,8.3,151458,18.9,139412,17.4,9738,1.2,2245,0.3,63,-,796429,633397,79.5,574642,72.2,58755,7.4,163032,20.5,154335,19.4,6823,0.9,1820,0.2,54,-,776358,634622,81.7,584785,75.3,49837,6.4,141736,18.3,133856,17.2,6345,0.8,1477,0.2,58,-,754526,630697,83.6,597274,79.2,33423,4.4,123829,16.4,116135,15.4,6412,0.8,1252,0.2,30,-,694957,582444,83.8,557502,80.2,24942,3.6,112513,16.2,102287,14.7,8624,1.2,1590,0.2,12,-,709306,606491,85.5,587344,82.8,19147,2.7,102815,14.5,90867,12.8,9999,1.4,1911,0.3,38,0.0,772823,658920,85.3,638981,82.7,19939,2.6,113903,14.7,101733,13.2,10261,1.3,1857,0.2,52,0.0,767399,639590,83.3,613494,79.9,26096,3.4,127809,16.7,114720,14.9,10645,1.4,2409,0.3,35,0.0,797295,647388,81.2,517355,64.9,130033,16.3,149907,18.8,137175,17.2,9865,1.2,2811,0.4,56,0.0,838825,689700,82.2,375016,44.7,314684,37.5,149125,17.8,133705,15.9,11959,1.4,3431,0.4,30,0.0
"대한적십자사","소계",계,2872156,2002672,69.7,829020,28.9,1173652,40.9,869484,30.3,666909,23.2,19350,0.7,183225,6.4,-,-,2645181,1986173,75.1,761250,28.8,1224923,46.3,659008,24.9,435339,16.5,19849,0.8,203820,7.7,-,-,2714819,1988560,73.2,748519,27.6,1240041,45.7,726259,26.8,515726,19.0,14815,0.5,195718,7.2,-,-,2681611,1974208,73.6,733084,27.3,1241124,46.3,707403,26.4,496151,18.5,16136,0.6,195116,7.3,-,-,2613901,1962045,75.1,747090,28.6,1214955,46.5,651856,24.9,439516,16.8,16020,0.6,196320,7.5,-,-,2435210,1835060,75.4,626117,25.7,1208943,49.6,600150,24.6,378981,15.6,18029,0.7,203140,8.3,-,-,2426779,1847184,76.1,660763,27.2,1186421,48.9,579595,23.9,343324,14.1,21024,0.9,215247,8.9,-,-,2445003,1840126,75.3,695516,28.4,1144610,46.8,604877,24.7,366870,15.0,20543,0.8,217464,8.9,-,-,2541446,1849059,72.8,694173,27.3,1154886,45.4,692387,27.2,425046,16.7,20423,0.8,246918,9.7,-,-,2639162,1822386,69.1,604624,22.9,1217762,46.1,816776,30.9,554881,21.0,18630,0.7,243265,9.2,-,-,2635546,1858797,70.5,426654,16.2,1432143,54.3,776749,29.5,502194,19.1,19471,0.7,255084,9.7,-,-
"대한적십자사","소계",남자,2029746,1377000,67.8,235806,11.6,1141194,56.2,652746,32.2,459191,22.6,13611,0.7,179944,8.9,-,-,1926108,1404271,72.9,220599,11.5,1183672,61.5,521837,27.1,308337,16.0,11270,0.6,202230,10.5,-,-,1988861,1413437,71.1,215801,10.9,1197636,60.2,575424,28.9,372420,18.7,8598,0.4,194406,9.8,-,-,1972773,1398087,70.9,194056,9.8,1204031,61.0,574686,29.1,370588,18.8,10171,0.5,193927,9.8,-,-,1909232,1375471,72.0,189747,9.9,1185724,62.1,533761,28.0,328713,17.2,9800,0.5,195248,10.2,-,-,1793118,1299355,72.5,113451,6.3,1185904,66.1,493763,27.5,282256,15.7,9718,0.5,201789,11.3,-,-,1771956,1289346,72.8,121174,6.8,1168172,65.9,482610,27.2,257570,14.5,11397,0.6,213643,12.1,-,-,1735122,1238986,71.4,113683,6.6,1125303,64.9,496136,28.6,269705,15.5,10555,0.6,215876,12.4,-,-,1845259,1272188,68.9,134821,7.3,1137367,61.6,573071,31.1,317978,17.2,10203,0.6,244890,13.3,-,-,1904852,1228933,64.5,119478,6.3,1109455,58.2,675919,35.5,425475,22.3,9395,0.5,241049,12.7,-,-,1860861,1226522,65.9,92480,5.0,1134042,60.9,634339,34.1,374206,20.1,7969,0.4,252164,13.6,-,-
"대한적십자사","소계",여자,842410,625672,74.3,593214,70.4,32458,3.9,216738,25.7,207718,24.7,5739,0.7,3281,0.4,-,-,719073,581902,80.9,540651,75.2,41251,5.7,137171,19.1,127002,17.7,8579,1.2,1590,0.2,-,-,725958,575123,79.2,532718,73.4,42405,5.8,150835,20.8,143306,19.7,6217,0.9,1312,0.2,-,-,708838,576121,81.3,539028,76.0,37093,5.2,132717,18.7,125563,17.7,5965,0.8,1189,0.2,-,-,704669,586574,83.2,557343,79.1,29231,4.1,118095,16.8,110803,15.7,6220,0.9,1072,0.2,-,-,642092,535705,83.4,512666,79.8,23039,3.6,106387,16.6,96725,15.1,8311,1.3,1351,0.2,-,-,654823,557838,85.2,539589,82.4,18249,2.8,96985,14.8,85754,13.1,9627,1.5,1604,0.2,-,-,709881,601140,84.7,581833,82.0,19307,2.7,108741,15.3,97165,13.7,9988,1.4,1588,0.2,-,-,696187,576871,82.9,559352,80.3,17519,2.5,119316,17.1,107068,15.4,10220,1.5,2028,0.3,-,-,734310,593453,80.8,485146,66.1,108307,14.7,140857,19.2,129406,17.6,9235,1.3,2216,0.3,-,-,774685,632275,81.6,334174,43.1,298101,38.5,142410,18.4,127988,16.5,11502,1.5,2920,0.4,-,-
