"혈액원별(1)","혈액원별(2)",성별(1),2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025
"혈액원별(1)","혈액원별(2)",성별(1),합계,1월,1월,2월,2월,3월,3월,4월,4월,5월,5월,6월,6월,7월,7월,8월,8월,9월,9월,10월,10월,11월,11월,12월,12월,합계,1월,1월,2월,2월,3월,3월,4월,4월,5월,5월,6월,6월,7월,7월,8월,8월,9월,9월,10월,10월,11월,11월,12월,12월,합계,1월,1월,2월,2월,3월,3월,4월,4월,5월,5월,6월,6월,7월,7월,8월,8월,9월,9월,10월,10월,11월,11월,12월,12월,합계,1월,1월,2월,2월,3월,3월,4월,4월,5월,5월,6월,6월,7월,7월,8월,8월,9월,9월,10월,10월,11월,11월,12월,12월,합계,1월,1월,2월,2월,3월,3월,4월,4월,5월,5월,6월,6월,7월,7월,8월,8월,9월,9월,10월,10월,11월,11월,12월,12월,합계,1월,1월,2월,2월,3월,3월,4월,4월,5월,5월,6월,6월,7월,7월,8월,8월,9월,9월,10월,10월,11월,11월,12월,12월,합계,1월,1월,2월,2월,3월,3월,4월,4월,5월,5월,6월,6월,7월,7월,8월,8월,9월,9월,10월,10월,11월,11월,12월,12월,합계,1월,1월,2월,2월,3월,3월,4월,4월,5월,5월,6월,6월,7월,7월,8월,8월,9월,9월,10월,10월,11월,11월,12월,12월,합계,1월,1월,2월,2월,3월,3월,4월,4월,5월,5월,6월,6월,7월,7월,8월,8월,9월,9월,10월,10월,11월,11월,12월,12월,합계,1월,1월,2월,2월,3월,3월,4월,4월,5월,5월,6월,6월,7월,7월,8월,8월,9월,9월,10월,10월,11월,11월,12월,12월,합계,1월,1월,2월,2월,3월,3월,4월,4월,5월,5월,6월,6월,7월,7월,8월,8월,9월,9월,10월,10월,11월,11월,12월,12월
"혈액원별(1)","혈액원별(2)",성별(1),실적 (건),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%)
"합계","소계",계,3082918,257355,8.3,211203,6.9,264282,8.6,253150,8.2,276784,9.0,245719,8.0,274766,8.9,257409,8.3,249808,8.1,272533,8.8,266969,8.7,252940,8.2,2866330,248426,8.7,202169,7.1,253121,8.8,237131,8.3,251621,8.8,223390,7.8,244890,8.5,228521,8.0,218522,7.6,256912,9.0,248332,8.7,253295,8.8,2928670,219578,7.5,219624,7.5,255102,8.7,234293,8.0,279611,9.5,233108,8.0,262994,9.0,247719,8.5,246422,8.4,221593,7.6,253468,8.7,255158,8.7,2883270,237893,8.3,208722,7.2,257191,8.9,237446,8.2,265300,9.2,228152,7.9,248124,8.6,230871,8.0,228858,7.9,240652,8.3,265668,9.2,234393,8.1,2791092,238712,8.6,197949,7.1,234119,8.4,228082,8.2,254986,9.1,224933,8.1,243983,8.7,235244,8.4,212622,7.6,239142,8.6,244865,8.8,236455,8.5,2611401,206758,7.9,199657,7.6,208239,8.0,193247,7.4,231927,8.9,226746,8.7,231564,8.9,224448,8.6,215954,8.3,216183,8.3,222658,8.5,234020,9.0,2604437,213118,8.2,189312,7.3,233403,9.0,215655,8.3,229930,8.8,212800,8.2,217441,8.3,214344,8.2,206859,7.9,208673,8.0,226440,8.7,236462,9.1,2649007,189598,7.2,179817,6.8,194685,7.3,227266,8.6,250118,9.4,215279,8.1,218473,8.2,216294,8.2,231658,8.7,235667,8.9,243440,9.2,246712,9.3,2776291,200795,7.2,209081,7.5,234387,8.4,220845,8.0,243688,8.8,232351,8.4,241955,8.7,239981,8.6,221477,8.0,235757,8.5,245270,8.8,250704,9.0,2855540,234109,8.2,218763,7.7,225443,7.9,228965,8.0,248325,8.7,233745,8.2,246981,8.6,239250,8.4,231908,8.1,241087,8.4,255373,8.9,251591,8.8,2839632,204853,7.2,219440,7.7,238294,8.4,233785,8.2,253723,8.9,241358,8.5,254046,8.9,242172,8.5,238785,8.4,225129,7.9,240244,8.5,247803,8.7
"합계","소계",남자,2165411,185215,8.6,151639,7.0,186387,8.6,178722,8.3,190716,8.8,173529,8.0,194417,9.0,180552,8.3,171965,7.9,188337,8.7,183686,8.5,180246,8.3,2066926,184649,8.9,149430,7.2,181407,8.8,172487,8.3,176990,8.6,162195,7.8,175436,8.5,167876,8.1,157257,7.6,181654,8.8,174568,8.4,182977,8.9,2132241,165943,7.8,163498,7.7,188460,8.8,170862,8.0,196491,9.2,170532,8.0,191472,9.0,180950,8.5,176480,8.3,160708,7.5,181718,8.5,185127,8.7,2106912,178490,8.5,155338,7.4,190658,9.0,171745,8.2,189225,9.0,165865,7.9,181998,8.6,170971,8.1,165388,7.8,173967,8.3,191179,9.1,172088,8.2,2036566,179806,8.8,150156,7.4,175514,8.6,169332,8.3,178042,8.7,163572,8.0,174832,8.6,169943,8.3,153758,7.5,169358,8.3,177495,8.7,174758,8.6,1916444,157201,8.2,147419,7.7,158505,8.3,146737,7.7,165974,8.7,167496,8.7,168603,8.8,160963,8.4,154938,8.1,158411,8.3,161702,8.4,168495,8.8,1895131,157066,8.3,139236,7.3,171347,9.0,158879,8.4,165241,8.7,151584,8.0,153311,8.1,156486,8.3,153353,8.1,153422,8.1,163283,8.6,171923,9.1,1876184,142408,7.6,129162,6.9,137215,7.3,154423,8.2,174230,9.3,151593,8.1,155645,8.3,150826,8.0,157647,8.4,165148,8.8,174726,9.3,183161,9.8,2008892,150058,7.5,150883,7.5,172351,8.6,161073,8.0,173579,8.6,167938,8.4,168535,8.4,166315,8.3,160121,8.0,173604,8.6,179994,9.0,184441,9.2,2058245,169780,8.2,155070,7.5,166827,8.1,167602,8.1,175513,8.5,168540,8.2,179193,8.7,174859,8.5,164873,8.0,175665,8.5,181631,8.8,178692,8.7,2000807,150867,7.5,159239,8.0,170275,8.5,166427,8.3,173402,8.7,166755,8.3,175947,8.8,171680,8.6,165846,8.3,158228,7.9,168458,8.4,173683,8.7
"합계","소계",여자,917507,72140,7.9,59564,6.5,77895,8.5,74428,8.1,86068,9.4,72190,7.9,80349,8.8,76857,8.4,77843,8.5,84196,9.2,83283,9.1,72694,7.9,799404,63777,8.0,52739,6.6,71714,9.0,64644,8.1,74631,9.3,61195,7.7,69454,8.7,60645,7.6,61265,7.7,75258,9.4,73764,9.2,70318,8.8,796429,53635,6.7,56126,7.0,66642,8.4,63431,8.0,83120,10.4,62576,7.9,71522,9.0,66769,8.4,69942,8.8,60885,7.6,71750,9.0,70031,8.8,776358,59403,7.7,53384,6.9,66533,8.6,65701,8.5,76075,9.8,62287,8.0,66126,8.5,59900,7.7,63470,8.2,66685,8.6,74489,9.6,62305,8.0,754526,58906,7.8,47793,6.3,58605,7.8,58750,7.8,76944,10.2,61361,8.1,69151,9.2,65301,8.7,58864,7.8,69784,9.2,67370,8.9,61697,8.2,694957,49557,7.1,52238,7.5,49734,7.2,46510,6.7,65953,9.5,59250,8.5,62961,9.1,63485,9.1,61016,8.8,57772,8.3,60956,8.8,65525,9.4,709306,56052,7.9,50076,7.1,62056,8.7,56776,8.0,64689,9.1,61216,8.6,64130,9.0,57858,8.2,53506,7.5,55251,7.8,63157,8.9,64539,9.1,772823,47190,6.1,50655,6.6,57470,7.4,72843,9.4,75888,9.8,63686,8.2,62828,8.1,65468,8.5,74011,9.6,70519,9.1,68714,8.9,63551,8.2,767399,50737,6.6,58198,7.6,62036,8.1,59772,7.8,70109,9.1,64413,8.4,73420,9.6,73666,9.6,61356,8.0,62153,8.1,65276,8.5,66263,8.6,797295,64329,8.1,63693,8.0,58616,7.4,61363,7.7,72812,9.1,65205,8.2,67788,8.5,64391,8.1,67035,8.4,65422,8.2,73742,9.2,72899,9.1,838825,53986,6.4,60201,7.2,68019,8.1,67358,8.0,80321,9.6,74603,8.9,78099,9.3,70492,8.4,72939,8.7,66901,8.0,71786,8.6,74120,8.8
"대한적십자사","소계",계,2872156,241385,8.4,197593,6.9,246694,8.6,235752,8.2,257626,9.0,229270,8.0,256506,8.9,240135,8.4,232675,8.1,253160,8.8,246406,8.6,234954,8.2,2645181,231909,8.8,188187,7.1,234834,8.9,217217,8.2,230486,8.7,204236,7.7,225022,8.5,210655,8.0,202890,7.7,233040,8.8,230627,8.7,236078,8.9,2714819,203609,7.5,204429,7.5,236278,8.7,216101,8.0,257624,9.5,216420,8.0,244054,9.0,229286,8.4,228882,8.4,205464,7.6,235317,8.7,237355,8.7,2681611,221066,8.2,193180,7.2,241362,9.0,221319,8.3,246117,9.2,211546,7.9,228749,8.5,215089,8.0,212804,7.9,224639,8.4,248903,9.3,216837,8.1,2613901,223703,8.6,184775,7.1,220402,8.4,216020,8.3,239928,9.2,210563,8.1,229095,8.8,218973,8.4,199670,7.6,221125,8.5,228662,8.7,220985,8.5,2435210,194040,8.0,185968,7.6,190012,7.8,180470,7.4,216375,8.9,211916,8.7,215264,8.8,209860,8.6,202770,8.3,202821,8.3,208598,8.6,217116,8.9,2426779,200754,8.3,177855,7.3,218080,9.0,202033,8.3,214333,8.8,196943,8.1,201154,8.3,199282,8.2,193734,8.0,192817,7.9,210859,8.7,218935,9.0,2445003,175710,7.2,167062,6.8,180237,7.4,211704,8.7,230015,9.4,198520,8.1,199838,8.2,200798,8.2,215164,8.8,218191,8.9,223358,9.1,224406,9.2,2541446,185559,7.3,192577,7.6,214106,8.4,201248,7.9,220673,8.7,211462,8.3,222002,8.7,220857,8.7,204219,8.0,213210,8.4,225525,8.9,230008,9.1,2639162,214446,8.1,201020,7.6,208723,7.9,212131,8.0,230079,8.7,217424,8.2,228612,8.7,219984,8.3,214035,8.1,222076,8.4,237002,9.0,233630,8.9,2635546,188617,7.2,201592,7.6,221273,8.4,216739,8.2,236194,9.0,223791,8.5,236423,9.0,225388,8.6,221828,8.4,208764,7.9,224797,8.5,230140,8.7
"대한적십자사","소계",남자,2029746,175367,8.6,143057,7.0,175071,8.6,167062,8.2,178059,8.8,162726,8.0,182653,9.0,169636,8.4,160655,7.9,175810,8.7,170854,8.4,168796,8.3,1926108,174173,9.0,140686,7.3,169921,8.8,159691,8.3,163562,8.5,150010,7.8,162653,8.4,156721,8.1,147232,7.6,166618,8.7,163080,8.5,171761,8.9,1988861,155586,7.8,153601,7.7,176038,8.9,159017,8.0,182311,9.2,159477,8.0,178544,9.0,168922,8.5,164338,8.3,149410,7.5,169242,8.5,172375,8.7,1972773,166940,8.5,145460,7.4,180312,9.1,160889,8.2,176418,8.9,154958,7.9,169335,8.6,160694,8.1,154480,7.8,163155,8.3,179932,9.1,160200,8.1,1909232,169986,8.9,140922,7.4,164895,8.6,159926,8.4,166770,8.7,152614,8.0,163999,8.6,158985,8.3,144527,7.6,156894,8.2,166173,8.7,163541,8.6,1793118,148356,8.3,137908,7.7,145589,8.1,137687,7.7,155684,8.7,157459,8.8,157097,8.8,150767,8.4,145685,8.1,148718,8.3,151353,8.4,156815,8.7,1771956,148488,8.4,131262,7.4,160396,9.1,149200,8.4,154316,8.7,141072,8.0,141927,8.0,146422,8.3,144391,8.1,142232,8.0,152402,8.6,159848,9.0,1735122,132782,7.7,120469,6.9,127590,7.4,143738,8.3,160577,9.3,140116,8.1,142733,8.2,140118,8.1,146415,8.4,152696,8.8,160427,9.2,167461,9.7,1845259,139493,7.6,139468,7.6,158398,8.6,147320,8.0,157899,8.6,153091,8.3,154357,8.4,153097,8.3,147969,8.0,157978,8.6,166268,9.0,169921,9.2,1904852,156861,8.2,143012,7.5,154799,8.1,154948,8.1,162484,8.5,156669,8.2,165708,8.7,161148,8.5,152010,8.0,161989,8.5,169056,8.9,166168,8.7,1860861,139780,7.5,147208,7.9,158411,8.5,154924,8.3,161299,8.7,154871,8.3,163859,8.8,159821,8.6,154205,8.3,146731,7.9,158049,8.5,161703,8.7
"대한적십자사","소계",여자,842410,66018,7.8,54536,6.5,71623,8.5,68690,8.2,79567,9.4,66544,7.9,73853,8.8,70499,8.4,72020,8.5,77350,9.2,75552,9.0,66158,7.9,719073,57736,8.0,47501,6.6,64913,9.0,57526,8.0,66924,9.3,54226,7.5,62369,8.7,53934,7.5,55658,7.7,66422,9.2,67547,9.4,64317,8.9,725958,48023,6.6,50828,7.0,60240,8.3,57084,7.9,75313,10.4,56943,7.8,65510,9.0,60364,8.3,64544,8.9,56054,7.7,66075,9.1,64980,9.0,708838,54126,7.6,47720,6.7,61050,8.6,60430,8.5,69699,9.8,56588,8.0,59414,8.4,54395,7.7,58324,8.2,61484,8.7,68971,9.7,56637,8.0,704669,53717,7.6,43853,6.2,55507,7.9,56094,8.0,73158,10.4,57949,8.2,65096,9.2,59988,8.5,55143,7.8,64231,9.1,62489,8.9,57444,8.2,642092,45684,7.1,48060,7.5,44423,6.9,42783,6.7,60691,9.5,54457,8.5,58167,9.1,59093,9.2,57085,8.9,54103,8.4,57245,8.9,60301,9.4,654823,52266,8.0,46593,7.1,57684,8.8,52833,8.1,60017,9.2,55871,8.5,59227,9.0,52860,8.1,49343,7.5,50585,7.7,58457,8.9,59087,9.0,709881,42928,6.0,46593,6.6,52647,7.4,67966,9.6,69438,9.8,58404,8.2,57105,8.0,60680,8.5,68749,9.7,65495,9.2,62931,8.9,56945,8.0,696187,46066,6.6,53109,7.6,55708,8.0,53928,7.7,62774,9.0,58371,8.4,67645,9.7,67760,9.7,56250,8.1,55232,7.9,59257,8.5,60087,8.6,734310,57585,7.8,58008,7.9,53924,7.3,57183,7.8,67595,9.2,60755,8.3,62904,8.6,58836,8.0,62025,8.4,60087,8.2,67946,9.3,67462,9.2,774685,48837,6.3,54384,7.0,62862,8.1,61815,8.0,74895,9.7,68920,8.9,72564,9.4,65567,8.5,67623,8.7,62033,8.0,66748,8.6,68437,8.8
"대한적십자사","서울중앙",계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,266577,24809,9.3,21466,8.1,24965,9.4,21216,8.0,23482,8.8,20849,7.8,23081,8.7,21418,8.0,20296,7.6,20955,7.9,23259,8.7,20781,7.8,251035,23563,9.4,20152,8.0,21413,8.5,19073,7.6,22053,8.8,20303,8.1,21494,8.6,21049,8.4,17480,7.0,20593,8.2,22291,8.9,21571,8.6,222024,19831,8.9,19338,8.7,16287,7.3,17709,8.0,21178,9.5,19808,8.9,18910,8.5,18013,8.1,17119,7.7,17867,8.0,17326,7.8,18638,8.4,216484,17856,8.2,15957,7.4,18848,8.7,17388,8.0,18309,8.5,18324,8.5,17258,8.0,17457,8.1,17517,8.1,18475,8.5,19177,8.9,19918,9.2,223617,16737,7.5,15484,6.9,15751,7.0,19789,8.8,19751,8.8,17572,7.9,19134,8.6,17759,7.9,18876,8.4,20520,9.2,21203,9.5,21041,9.4,234465,17767,7.6,17500,7.5,19452,8.3,18356,7.8,19698,8.4,20341,8.7,21354,9.1,20483,8.7,18155,7.7,18959,8.1,21248,9.1,21152,9.0,239464,20190,8.4,18408,7.7,19010,7.9,18842,7.9,21229,8.9,19398,8.1,19891,8.3,19342,8.1,19743,8.2,20135,8.4,21811,9.1,21465,9.0,236033,17253,7.3,18807,8.0,19184,8.1,18890,8.0,21061,8.9,20320,8.6,20274,8.6,19743,8.4,18567,7.9,19403,8.2,21489,9.1,21042,8.9
