date,whole_blood,apheresis_platelet,platelet_plasma,plasma
2021-01-01,125,2,21,43
2021-01-02,4936,59,779,1430
2021-01-03,2894,28,632,1041
2021-01-04,5543,65,581,1232
2021-01-05,5249,55,545,1127
2021-01-06,5196,59,537,1057
2021-01-07,4178,45,485,772
2021-01-08,5923,66,475,680
2021-01-09,5636,80,782,1243
2021-01-10,3139,57,640,982
2021-01-11,5370,61,570,901
2021-01-12,5188,83,498,766
2021-01-13,5771,68,598,983
2021-01-14,5515,81,500,806
2021-01-15,5649,70,498,755
2021-01-16,5133,93,798,1389
2021-01-17,3190,46,688,1088
2021-01-18,4301,77,521,931
2021-01-19,4830,57,503,979
2021-01-20,5105,65,526,984
2021-01-21,4269,60,472,789
2021-01-22,5432,104,616,975
2021-01-23,4680,80,812,1399
2021-01-24,2961,45,675,1165
2021-01-25,6554,74,555,995
2021-01-26,5853,53,493,781
2021-01-27,6585,63,590,928
2021-01-28,6100,65,481,834
2021-01-29,6402,65,542,890
2021-01-30,5415,56,815,1366
2021-01-31,3421,48,652,1090
2021-02-01,5677,57,566,1016
2021-02-02,5807,47,502,988
2021-02-03,5126,51,533,841
2021-02-04,4911,46,466,706
2021-02-05,6400,58,546,907
2021-02-06,6808,64,823,1351
2021-02-07,3595,52,657,1120
2021-02-08,6218,73,549,907
2021-02-09,5872,67,500,790
2021-02-10,6468,96,748,1048
2021-02-11,357,0,54,120
2021-02-13,3148,48,597,781
2021-02-14,3512,73,749,1290
2021-02-15,5888,75,796,1241
2021-02-16,5120,87,637,955
2021-02-17,4629,78,609,878
2021-02-18,5311,58,631,852
2021-02-19,5503,76,654,962
2021-02-20,5105,76,864,1411
2021-02-21,2849,52,671,1100
2021-02-22,5068,74,610,999
2021-02-23,5350,48,533,826
2021-02-24,4929,57,539,880
2021-02-25,4921,53,446,720
2021-02-26,6660,68,485,773
2021-02-27,5762,57,783,1151
2021-02-28,3293,50,655,1111
2021-03-01,2258,28,335,625
2021-03-02,5588,66,630,1047
2021-03-03,5520,57,598,1039
2021-03-04,5079,75,524,955
2021-03-05,5991,65,618,1164
2021-03-06,6720,68,849,1432
2021-03-07,3963,42,686,1175
2021-03-08,4922,65,604,1028
2021-03-09,4711,48,533,934
2021-03-10,4943,52,530,1035
2021-03-11,5146,41,465,872
2021-03-12,5687,62,558,896
