date,O_pos,A_pos,B_pos,AB_pos,O_neg,A_neg,B_neg,AB_neg,O,A,B,AB,total
2021-01-01,64,58,47,21,0,1,0,0,64,59,47,21,191
2021-01-02,1982,2468,1897,825,5,13,11,3,1987,2481,1908,828,7204
2021-01-03,1266,1542,1197,560,7,14,8,1,1273,1556,1205,561,4595
2021-01-04,2089,2516,1901,885,8,9,11,2,2097,2525,1912,887,7421
2021-01-05,1837,2369,1901,828,9,16,11,5,1846,2385,1912,833,6976
2021-01-06,1893,2325,1799,803,12,9,5,3,1905,2334,1804,806,6849
2021-01-07,1476,1929,1378,674,7,9,6,1,1483,1938,1384,675,5480
2021-01-08,1943,2423,1901,845,10,13,8,1,1953,2436,1909,846,7144
2021-01-09,2138,2621,2039,902,10,10,17,4,2148,2631,2056,906,7741
2021-01-10,1372,1657,1201,566,7,6,5,4,1379,1663,1206,570,4818
2021-01-11,1898,2349,1847,779,9,7,11,2,1907,2356,1858,781,6902
2021-01-12,1831,2199,1751,728,8,7,8,3,1839,2206,1759,731,6535
2021-01-13,2048,2487,1992,862,7,9,8,7,2055,2496,2000,869,7420
2021-01-14,1863,2310,1881,808,14,13,11,2,1877,2323,1892,810,6902
2021-01-15,1936,2318,1892,797,5,12,8,4,1941,2330,1900,801,6972
2021-01-16,2064,2509,1942,872,8,2,10,6,2072,2511,1952,878,7413
2021-01-17,1396,1691,1319,589,4,7,5,1,1400,1698,1324,590,5012
2021-01-18,1635,1989,1480,706,6,10,1,3,1641,1999,1481,709,5830
2021-01-19,1711,2186,1679,767,7,10,6,3,1718,2196,1685,770,6369
2021-01-20,1796,2303,1757,799,7,10,4,4,1803,2313,1761,803,6680
2021-01-21,1546,1918,1465,639,7,10,4,1,1553,1928,1469,640,5590
2021-01-22,1850,2356,1829,1063,7,14,3,5,1857,2370,1832,1068,7127
2021-01-23,1856,2396,1852,844,5,7,6,5,1861,2403,1858,849,6971
2021-01-24,1325,1658,1242,599,9,4,5,4,1334,1662,1247,603,4846
2021-01-25,2291,2730,2182,946,11,7,7,4,2302,2737,2189,950,8178
2021-01-26,1937,2457,1892,854,10,16,12,2,1947,2473,1904,856,7180
2021-01-27,2328,2731,2103,969,11,15,7,2,2339,2746,2110,971,8166
2021-01-28,1998,2495,2093,864,6,11,9,4,2004,2506,2102,868,7480
2021-01-29,2146,2665,2143,913,4,10,13,5,2150,2675,2156,918,7899
2021-01-30,2065,2633,2038,877,11,7,11,10,2076,2640,2049,887,7652
2021-01-31,1442,1768,1382,591,7,7,8,6,1449,1775,1390,597,5211
2021-02-01,2024,2475,1984,805,9,6,8,5,2033,2481,1992,810,7316
2021-02-02,2049,2491,1907,868,3,16,5,5,2052,2507,1912,873,7344
