date,RBC,platelet,plasma,F_platelet,washed_platelet,apheresis_plasma,etc
2021-01-01,25424,8208,100338,994,0,14686,168
2021-01-02,23030,4765,99328,604,0,14750,292
2021-01-03,25009,5858,103327,1051,0,16955,196
2021-01-04,25145,4934,105108,1062,0,18623,270
2021-01-05,24424,5621,108932,888,0,20409,190
2021-01-06,23382,5718,102225,745,0,17892,158
2021-01-07,22517,5705,98997,735,0,16981,184
2021-01-08,20690,4964,97512,673,0,15910,125
2021-01-09,20934,6443,93885,698,0,14266,176
2021-01-10,23216,7299,98066,1037,0,16288,225
2021-01-11,24115,5822,100026,1018,0,17909,294
2021-01-12,23051,6023,103400,801,0,19357,186
2021-01-13,22230,6167,102860,761,0,18837,160
2021-01-14,21941,6469,106938,804,0,20404,148
2021-01-15,20880,6407,110173,724,0,21703,161
2021-01-16,20701,6587,104306,743,0,17786,128
2021-01-17,22533,6807,108159,1114,0,19967,207
2021-01-18,23437,6294,110367,1145,0,21741,236
2021-01-19,21346,5629,107775,982,0,21342,111
2021-01-20,19966,5973,103783,778,0,20677,124
2021-01-21,19348,5959,95319,740,0,18156,158
2021-01-22,18007,5257,94120,685,0,17234,130
2021-01-23,17641,6019,84634,849,0,12878,117
2021-01-24,19088,6465,88079,1153,0,15082,186
2021-01-25,19585,5473,90034,1154,0,16917,279
2021-01-26,19835,6768,94583,910,0,18451,281
2021-01-27,19757,7323,88346,775,0,14370,212
2021-01-28,20631,7708,93010,885,0,15864,240
2021-01-29,20493,7409,94655,760,0,15284,325
2021-01-30,21228,7758,88063,823,0,11698,230
2021-01-31,23230,7840,92106,1171,0,13878,255
2021-02-01,23952,6830,94107,1240,0,15619,761
2021-02-02,23200,6600,98403,1055,0,17184,184
2021-02-03,22912,7058,102524,904,0,18656,265
2021-02-04,22396,6542,96061,872,0,15306,180
2021-02-05,21195,6185,99411,737,0,16473,162
2021-02-06,21799,6911,91955,807,0,12606,160
2021-02-07,24800,8105,97162,1161,0,14776,464
2021-02-08,25787,7879,99716,1233,0,16551,520
2021-02-09,25443,8013,98133,1090,0,16043,280
2021-02-10,24322,8089,93860,906,0,14285,234
2021-02-11,24011,8618,96014,1156,0,14183,104
2021-02-12,22010,5265,95488,644,0,14350,26
2021-02-13,20022,2444,94864,328,0,14350,26
2021-02-14,20429,3240,96452,730,0,15728,353
2021-02-15,21819,3820,99333,957,0,17767,206
2021-02-16,21329,5856,102988,984,0,19781,139
2021-02-17,19934,5542,100275,868,0,18602,101
2021-02-18,18416,5078,98249,821,0,17916,134
2021-02-19,17704,5713,97865,820,0,17196,157
2021-02-20,17562,6229,91549,885,0,15928,128
