year,month,component,component_code,inventory,date
2015,1,농축적혈구,RBC,24397,2015-01-01
2015,2,농축적혈구,RBC,27520,2015-02-01
2015,3,농축적혈구,RBC,19122,2015-03-01
2015,4,농축적혈구,RBC,20050,2015-04-01
2015,5,농축적혈구,RBC,28680,2015-05-01
2015,6,농축적혈구,RBC,32884,2015-06-01
2015,7,농축적혈구,RBC,38645,2015-07-01
2015,8,농축적혈구,RBC,31317,2015-08-01
2015,9,농축적혈구,RBC,26048,2015-09-01
2015,10,농축적혈구,RBC,17475,2015-10-01
2015,11,농축적혈구,RBC,21705,2015-11-01
2015,12,농축적혈구,RBC,16543,2015-12-01
2015,1,농축혈소판,PLT,6537,2015-01-01
2015,2,농축혈소판,PLT,6449,2015-02-01
2015,3,농축혈소판,PLT,6756,2015-03-01
2015,4,농축혈소판,PLT,6785,2015-04-01
2015,5,농축혈소판,PLT,6813,2015-05-01
2015,6,농축혈소판,PLT,6530,2015-06-01
2015,7,농축혈소판,PLT,6563,2015-07-01
2015,8,농축혈소판,PLT,6283,2015-08-01
2015,9,농축혈소판,PLT,6735,2015-09-01
2015,10,농축혈소판,PLT,6819,2015-10-01
2015,11,농축혈소판,PLT,6821,2015-11-01
2015,12,농축혈소판,PLT,6904,2015-12-01
2015,1,신선동결혈장,FFP,78777,2015-01-01
2015,2,신선동결혈장,FFP,78413,2015-02-01
2015,3,신선동결혈장,FFP,79871,2015-03-01
2015,4,신선동결혈장,FFP,81102,2015-04-01
2015,5,신선동결혈장,FFP,85167,2015-05-01
2015,6,신선동결혈장,FFP,76744,2015-06-01
2015,7,신선동결혈장,FFP,78957,2015-07-01
2015,8,신선동결혈장,FFP,75139,2015-08-01
2015,9,신선동결혈장,FFP,72577,2015-09-01
2015,10,신선동결혈장,FFP,70635,2015-10-01
2015,11,신선동결혈장,FFP,73917,2015-11-01
2015,12,신선동결혈장,FFP,65497,2015-12-01
2015,1,백혈구여과제거성분채혈혈소판,SDP,1011,2015-01-01
2015,2,백혈구여과제거성분채혈혈소판,SDP,921,2015-02-01
2015,3,백혈구여과제거성분채혈혈소판,SDP,1027,2015-03-01
2015,4,백혈구여과제거성분채혈혈소판,SDP,886,2015-04-01
2015,5,백혈구여과제거성분채혈혈소판,SDP,1021,2015-05-01
2015,6,백혈구여과제거성분채혈혈소판,SDP,1030,2015-06-01
2015,7,백혈구여과제거성분채혈혈소판,SDP,1119,2015-07-01
2015,8,백혈구여과제거성분채혈혈소판,SDP,1047,2015-08-01
2015,9,백혈구여과제거성분채혈혈소판,SDP,925,2015-09-01
2015,10,백혈구여과제거성분채혈혈소판,SDP,1040,2015-10-01
2015,11,백혈구여과제거성분채혈혈소판,SDP,897,2015-11-01
2015,12,백혈구여과제거성분채혈혈소판,SDP,975,2015-12-01
2016,1,농축적혈구,RBC,15775,2016-01-01
2016,2,농축적혈구,RBC,16547,2016-02-01
2016,3,농축적혈구,RBC,15286,2016-03-01
2016,4,농축적혈구,RBC,15690,2016-04-01
2016,5,농축적혈구,RBC,27919,2016-05-01
2016,6,농축적혈구,RBC,27836,2016-06-01
2016,7,농축적혈구,RBC,21649,2016-07-01
2016,8,농축적혈구,RBC,20410,2016-08-01
2016,9,농축적혈구,RBC,15272,2016-09-01
2016,10,농축적혈구,RBC,21288,2016-10-01
2016,11,농축적혈구,RBC,24384,2016-11-01
2016,12,농축적혈구,RBC,23674,2016-12-01
2016,1,농축혈소판,PLT,6539,2016-01-01
2016,2,농축혈소판,PLT,6269,2016-02-01
2016,3,농축혈소판,PLT,6326,2016-03-01
2016,4,농축혈소판,PLT,6355,2016-04-01
2016,5,농축혈소판,PLT,6042,2016-05-01
2016,6,농축혈소판,PLT,5506,2016-06-01
2016,7,농축혈소판,PLT,5710,2016-07-01
