date,RBC,platelet,plasma,F_platelet,washed_platelet,apheresis_plasma,etc
2021-01-01,45,40,3,8,0,0,1
2021-01-02,69,36,17,19,0,4,12
2021-01-03,81,63,8,15,0,5,5
2021-01-04,114,58,37,35,0,27,40
2021-01-05,145,99,63,18,0,19,10
2021-01-06,127,83,65,17,0,15,23
2021-01-07,146,87,35,17,0,18,28
2021-01-08,114,84,41,20,0,9,12
2021-01-09,114,75,19,9,0,3,16
2021-01-10,77,62,6,7,0,1,6
2021-01-11,147,90,75,42,0,23,19
2021-01-12,121,90,53,17,0,14,24
2021-01-13,118,82,26,21,0,14,18
2021-01-14,115,87,22,13,0,7,13
2021-01-15,135,100,50,20,0,10,14
2021-01-16,105,79,19,14,0,6,8
2021-01-17,63,48,1,10,0,2,7
2021-01-18,127,68,59,33,0,21,22
2021-01-19,115,84,82,16,0,17,29
2021-01-20,120,81,53,16,0,11,18
2021-01-21,109,82,62,22,0,23,14
2021-01-22,113,89,26,8,0,7,13
2021-01-23,89,65,23,15,0,7,7
2021-01-24,64,53,2,15,0,5,8
2021-01-25,108,57,55,29,0,16,37
2021-01-26,125,86,41,32,0,15,30
2021-01-27,117,73,72,16,0,24,22
2021-01-28,147,96,25,15,0,5,21
2021-01-29,148,93,84,9,0,8,38
2021-01-30,102,66,15,13,0,1,7
2021-01-31,67,46,14,4,0,1,7
2021-02-01,126,64,39,35,0,17,59
2021-02-02,109,62,107,21,0,18,17
2021-02-03,124,82,39,16,0,14,26
2021-02-04,98,68,45,15,0,5,17
2021-02-05,91,66,85,16,0,10,22
2021-02-06,101,70,14,8,0,4,15
2021-02-07,63,53,3,9,0,2,10
2021-02-08,130,82,49,22,0,14,31
2021-02-09,145,97,39,15,0,18,23
2021-02-10,103,72,34,15,0,8,19
2021-02-11,77,56,10,10,0,7,13
2021-02-13,4,3,0,2,0,0,1
2021-02-14,40,37,0,6,0,0,2
2021-02-15,122,70,41,37,1,23,27
2021-02-16,117,93,56,21,0,11,23
2021-02-17,116,84,37,40,0,13,20
2021-02-18,104,69,26,24,0,13,14
2021-02-19,114,77,59,17,0,4,22
2021-02-20,105,89,16,23,0,10,7
2021-02-21,89,73,2,8,0,2,8
2021-02-22,116,76,60,30,0,15,24
2021-02-23,124,83,52,24,0,12,19
2021-02-24,101,70,53,18,0,13,19
2021-02-25,99,64,56,20,0,10,17
2021-02-26,118,78,124,15,0,8,29
2021-02-27,92,68,7,21,0,5,9
2021-02-28,56,41,16,15,0,0,9
2021-03-01,47,36,19,6,0,5,4
2021-03-02,91,54,85,21,0,19,16
2021-03-03,105,74,64,31,0,16,23
2021-03-04,175,83,37,15,0,7,19
2021-03-05,103,74,60,16,0,8,15
2021-03-06,105,88,22,6,0,3,8
2021-03-07,80,53,10,13,0,2,17
2021-03-08,142,86,55,23,0,30,36
2021-03-09,97,65,42,17,0,15,17
2021-03-10,82,58,43,16,0,7,10
2021-03-11,133,85,31,26,0,18,22
2021-03-12,113,85,28,15,0,7,21
2021-03-13,99,72,17,5,0,2,7
2021-03-14,53,43,5,9,0,3,7
2021-03-15,133,81,41,38,0,30,36
2021-03-16,122,71,54,40,0,21,20
2021-03-17,111,87,36,15,0,8,12
2021-03-18,105,59,21,11,0,9,21
2021-03-19,101,78,53,10,0,13,11
2021-03-20,101,72,18,11,0,6,11
2021-03-21,63,46,5,5,0,0,7
2021-03-22,131,69,63,25,1,20,45
2021-03-23,134,106,34,23,0,16,21
2021-03-24,153,103,43,8,0,6,30
2021-03-25,123,76,19,9,0,7,22
2021-03-26,137,99,52,17,0,12,12
2021-03-27,97,76,21,11,0,4,16
2021-03-28,85,60,3,5,0,2,13
2021-03-29,129,71,47,40,0,29,41
2021-03-30,145,89,124,22,0,13,30
2021-03-31,140,103,92,11,0,14,28
2021-04-01,106,59,64,14,0,11,20
2021-04-02,128,95,72,14,0,7,17
2021-04-03,111,84,18,6,0,2,12
2021-04-04,53,42,6,4,0,1,7
2021-04-05,107,60,53,31,0,13,20
2021-04-06,128,91,53,27,0,16,34
2021-04-07,126,79,38,21,0,23,16
2021-04-08,130,91,59,15,0,3,28
2021-04-09,128,89,43,12,0,9,13
2021-04-10,102,78,18,11,0,4,16
2021-04-11,64,51,3,2,0,2,13
2021-04-12,119,77,30,25,0,18,30
2021-04-13,96,64,42,21,0,8,19
2021-04-14,101,82,22,12,0,7,17
2021-04-15,113,68,16,11,0,4,11
2021-04-16,97,62,45,10,0,11,24
2021-04-17,99,66,25,14,0,6,20
2021-04-18,83,70,10,6,0,1,11
2021-04-19,148,97,55,30,0,20,42
2021-04-20,90,63,56,19,0,13,12
2021-04-21,99,74,32,15,3,14,17
2021-04-22,106,80,50,15,0,11,15
2021-04-23,121,80,76,24,0,14,14
2021-04-24,98,74,16,8,0,2,8
2021-04-25,56,43,11,7,0,0,8
2021-04-26,143,89,73,28,1,24,26
2021-04-27,101,72,52,14,1,7,21
2021-04-28,82,60,62,18,0,12,22
2021-04-29,99,71,18,18,3,7,29
2021-04-30,136,92,100,18,1,10,16
2021-05-01,108,76,16,8,0,5,12
2021-05-02,69,42,8,18,0,7,19
2021-05-03,134,67,76,18,0,9,34
2021-05-04,140,90,61,17,0,12,13
2021-05-05,66,43,4,8,0,3,13
2021-05-06,105,69,32,16,0,16,23
2021-05-07,138,103,89,19,0,7,20
2021-05-08,113,80,14,8,0,0,14
2021-05-09,71,47,5,6,0,0,5
2021-05-10,134,72,35,24,0,23,30
2021-05-11,138,102,55,18,0,14,14
2021-05-12,119,93,33,14,0,3,18
2021-05-13,124,100,23,13,0,7,32
2021-05-14,127,96,38,13,0,11,20
2021-05-15,109,76,16,14,0,3,12
2021-05-16,76,55,3,6,0,1,9
2021-05-17,129,69,45,34,0,24,29
2021-05-18,122,87,44,14,0,11,22
2021-05-19,59,48,6,3,0,1,8
2021-05-20,113,65,62,13,0,4,33
2021-05-21,145,105,70,22,0,12,28
2021-05-22,109,78,18,3,0,2,17
2021-05-23,67,38,3,21,0,8,4
2021-05-24,129,71,31,27,0,14,33
2021-05-25,117,90,68,14,0,14,32
2021-05-26,131,91,29,7,0,7,13
2021-05-27,133,82,38,17,0,10,34
2021-05-28,109,77,26,10,0,9,21
2021-05-29,104,76,11,14,0,10,14
2021-05-30,79,61,4,13,0,4,8
2021-05-31,133,73,149,20,0,28,31
2021-06-01,105,63,50,29,0,16,28
2021-06-02,109,82,79,14,0,6,16
2021-06-03,124,94,31,20,0,12,13
2021-06-04,89,62,47,21,0,12,16
2021-06-05,122,86,19,4,0,2,13
2021-06-06,63,48,5,8,0,1,10
2021-06-07,140,68,53,41,0,20,38
2021-06-08,111,68,28,22,0,16,13
2021-06-09,114,82,57,15,0,9,19
2021-06-10,137,83,40,13,0,7,12
2021-06-11,116,80,37,6,0,5,16
2021-06-12,77,53,15,6,0,3,15
2021-06-13,55,34,3,11,0,4,13
2021-06-14,115,71,52,24,0,21,30
2021-06-15,94,68,42,19,1,7,26
2021-06-16,103,51,22,14,0,6,12
2021-06-17,87,62,14,7,0,4,11
2021-06-18,94,65,36,9,0,10,18
2021-06-19,57,42,18,13,0,5,10
2021-06-20,52,38,3,15,0,2,8
2021-06-21,80,47,60,28,0,23,24
2021-06-22,96,72,60,31,0,28,19
2021-06-23,85,58,26,16,0,8,14
2021-06-24,88,58,30,18,0,10,23
2021-06-25,105,71,52,22,1,15,18
2021-06-26,102,75,12,11,0,2,18
2021-06-27,67,46,8,4,0,1,7
2021-06-28,112,71,45,33,0,20,20
2021-06-29,94,66,52,20,0,19,18
2021-06-30,106,67,68,10,0,9,18
2021-07-01,107,62,39,8,0,11,21
2021-07-02,110,77,62,33,3,14,27
2021-07-03,76,64,13,6,0,2,7
2021-07-04,55,39,3,9,0,2,8
2021-07-05,89,49,27,53,0,27,28
2021-07-06,96,63,70,16,0,11,19
2021-07-07,123,100,50,16,0,12,18
2021-07-08,99,74,12,10,0,3,21
2021-07-09,131,97,50,8,0,7,22
2021-07-10,114,80,15,20,0,5,27
2021-07-11,53,37,2,8,0,2,7
2021-07-12,140,88,38,32,0,16,21
2021-07-13,107,76,24,19,0,8,12
2021-07-14,132,193,24,17,0,8,31
2021-07-15,96,55,25,20,3,14,17
2021-07-16,117,85,26,25,0,15,22
2021-07-17,94,66,11,9,0,5,6
2021-07-18,62,50,1,6,0,2,5
2021-07-19,112,71,53,33,0,30,36
2021-07-20,91,67,53,13,3,15,19
2021-07-21,75,54,21,18,0,16,16
