date,O_pos,A_pos,B_pos,AB_pos,O_neg,A_neg,B_neg,AB_neg,O,A,B,AB,total
2021-01-01,24,31,21,16,2,2,1,0,26,33,22,16,97
2021-01-02,32,46,41,32,2,1,3,0,34,47,44,32,157
2021-01-03,49,55,46,27,0,0,0,0,49,55,46,27,177
2021-01-04,88,108,73,40,0,1,0,1,88,109,73,41,311
2021-01-05,85,132,92,42,2,0,1,0,87,132,93,42,354
2021-01-06,76,112,98,39,0,4,1,0,76,116,99,39,330
2021-01-07,82,120,90,38,1,0,0,0,83,120,90,38,331
2021-01-08,85,106,62,25,1,0,1,0,86,106,63,25,280
2021-01-09,73,75,65,23,0,0,0,0,73,75,65,23,236
2021-01-10,35,57,46,18,1,0,2,0,36,57,48,18,159
2021-01-11,103,134,99,54,1,3,2,0,104,137,101,54,396
2021-01-12,75,108,88,46,0,1,1,0,75,109,89,46,319
2021-01-13,48,104,93,34,0,0,0,0,48,104,93,34,279
2021-01-14,74,78,69,33,1,2,0,0,75,80,69,33,257
2021-01-15,78,124,83,44,0,0,0,0,78,124,83,44,329
2021-01-16,60,90,55,24,0,1,0,1,60,91,55,25,231
2021-01-17,44,40,29,18,0,0,0,0,44,40,29,18,131
2021-01-18,98,105,75,47,4,1,0,0,102,106,75,47,330
2021-01-19,89,127,93,30,2,1,1,0,91,128,94,30,343
2021-01-20,71,117,76,34,0,0,1,0,71,117,77,34,299
2021-01-21,96,106,83,27,0,0,0,0,96,106,83,27,312
2021-01-22,56,109,58,33,0,0,0,0,56,109,58,33,256
2021-01-23,49,58,60,39,0,0,0,0,49,58,60,39,206
2021-01-24,43,47,45,12,0,0,0,0,43,47,45,12,147
2021-01-25,84,100,82,35,0,1,0,0,84,101,82,35,302
2021-01-26,77,108,84,58,1,0,1,0,78,108,85,58,329
2021-01-27,84,108,100,30,0,1,1,0,84,109,101,30,324
2021-01-28,75,120,82,30,1,1,0,0,76,121,82,30,309
2021-01-29,91,151,102,34,0,2,0,0,91,153,102,34,380
2021-01-30,41,71,63,27,1,1,0,0,42,72,63,27,204
2021-01-31,41,36,38,23,0,0,1,0,41,36,39,23,139
2021-02-01,91,103,99,41,3,0,1,2,94,103,100,43,340
2021-02-02,72,151,86,22,1,1,1,0,73,152,87,22,334
2021-02-03,75,104,83,37,0,1,1,0,75,105,84,37,301
2021-02-04,48,97,79,23,0,0,0,1,48,97,79,24,248
2021-02-05,80,104,60,44,0,0,1,1,80,104,61,45,290
2021-02-06,58,80,52,21,0,0,1,0,58,80,53,21,212
2021-02-07,36,45,43,15,1,0,0,0,37,45,43,15,140
2021-02-08,78,105,80,55,3,3,1,3,81,108,81,58,328
2021-02-09,77,97,104,56,0,1,1,1,77,98,105,57,337
2021-02-10,79,63,69,36,0,3,0,1,79,66,69,37,251
2021-02-11,38,57,55,21,2,0,0,0,40,57,55,21,173
2021-02-13,1,2,4,1,1,0,1,0,2,2,5,1,10
2021-02-14,22,27,29,7,0,0,0,0,22,27,29,7,85
2021-02-15,91,106,80,42,1,0,0,1,92,106,80,43,321
2021-02-16,71,133,73,42,0,0,2,0,71,133,75,42,321
2021-02-17,75,125,78,31,0,0,1,0,75,125,79,31,310
2021-02-18,69,73,81,25,1,1,0,0,70,74,81,25,250
2021-02-19,75,96,93,27,1,0,1,0,76,96,94,27,293
2021-02-20,59,80,78,33,0,0,0,0,59,80,78,33,250
2021-02-21,49,50,57,26,0,0,0,0,49,50,57,26,182
2021-02-22,74,119,97,31,0,0,0,0,74,119,97,31,321
2021-02-23,92,97,94,27,0,3,1,0,92,100,95,27,314
2021-02-24,81,89,72,27,1,1,1,2,82,90,73,29,274
2021-02-25,70,90,59,47,0,0,0,0,70,90,59,47,266
2021-02-26,80,139,100,51,0,0,1,1,80,139,101,52,372
2021-02-27,53,74,57,18,0,0,0,0,53,74,57,18,202
2021-02-28,44,48,35,7,0,3,0,0,44,51,35,7,137
2021-03-01,34,42,30,10,0,0,0,1,34,42,30,11,117
2021-03-02,55,104,88,35,2,1,0,1,57,105,88,36,286
2021-03-03,73,103,93,41,0,0,2,1,73,103,95,42,313
2021-03-04,82,122,88,41,0,1,2,0,82,123,90,41,336
2021-03-05,81,111,60,23,1,0,0,0,82,111,60,23,276
2021-03-06,68,79,57,27,1,0,0,0,69,79,57,27,232
2021-03-07,57,58,47,13,0,0,0,0,57,58,47,13,175
2021-03-08,98,133,97,41,2,0,0,1,100,133,97,42,372
2021-03-09,71,81,58,42,0,1,0,0,71,82,58,42,253
2021-03-10,54,75,68,16,0,3,0,0,54,78,68,16,216
2021-03-11,91,103,69,51,1,0,0,0,92,103,69,51,315
2021-03-12,49,87,101,29,1,1,1,0,50,88,102,29,269
2021-03-13,45,78,59,20,0,0,0,0,45,78,59,20,202
2021-03-14,29,49,28,13,1,0,0,0,30,49,28,13,120
2021-03-15,101,118,93,45,1,1,0,0,102,119,93,45,359
2021-03-16,90,112,72,51,1,0,2,0,91,112,74,51,328
2021-03-17,55,99,66,48,0,0,1,0,55,99,67,48,269
2021-03-18,53,67,73,31,1,1,0,0,54,68,73,31,226
2021-03-19,54,99,86,24,1,0,1,1,55,99,87,25,266
2021-03-20,48,76,71,22,0,0,2,0,48,76,73,22,219
2021-03-21,39,46,37,3,0,1,0,0,39,47,37,3,126
2021-03-22,90,125,95,39,1,1,3,0,91,126,98,39,354
2021-03-23,72,121,84,55,1,0,0,1,73,121,84,56,334
2021-03-24,99,109,107,27,1,0,0,0,100,109,107,27,343
2021-03-25,76,92,66,21,0,0,1,0,76,92,67,21,256
2021-03-26,71,146,73,39,0,0,0,0,71,146,73,39,329
2021-03-27,59,66,74,24,2,0,0,0,61,66,74,24,225
2021-03-28,36,60,43,28,0,0,1,0,36,60,44,28,168
2021-03-29,93,132,76,54,0,1,0,1,93,133,76,55,357
2021-03-30,93,168,104,55,2,1,0,0,95,169,104,55,423
2021-03-31,106,134,119,28,1,0,0,0,107,134,119,28,388
