year,총 헌혈실적 (건),총 인구 (명),헌혈률 (%),헌혈가능인구 (16~69세) (명),헌혈가능인구대비 헌혈률 (%),헌혈자 실인원 (명),헌혈자 1인당 평균 헌혈실적 (건),실제 국민 헌혈률 (%)
2015,3082918,50617045,6.09,38728606,7.96,1668424,1.85,4.31
2016,2866330,50801405,5.64,39247479,7.3,1596294,1.8,4.07
2017,2928670,51446201,5.69,39399676,7.43,1545022,1.8,3.92
2018,2883270,51635256,5.58,39460309,7.31,1479867,1.95,3.75
2019,2791092,51849861,5.38,39427567,7.08,1423610,1.96,3.61
2020,2611401,51829023,5.04,39383004,6.63,1281773,2.04,3.25
2021,2604437,51638809,5.04,39241355,6.64,1272178,2.05,3.24
2022,2649007,51439038,5.15,38970845,6.8,1327587,2.0,3.41
2023,2776291,51325329,5.41,38873293,7.14,1300774,2.13,3.35
2024,2855540,51217221,5.58,38674973,7.38,1264525,2.26,3.27
2025,2839632,51117378,5.56,38355939,7.4,1251288,2.27,3.26
